"Run Date: 06:14:21	Run Time: 15:18:52	",,,,,
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1581
   X,MeasSpotIn,15.0107,0,0,15.0131
   Y,MeasSpotIn,-21.0137,0,0,-21.0199
Form,MeasSpotIn,0,0,0,0.0104
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1656
   X,MeasSpotIn,25.0178,0,0,25.0222
   Y,MeasSpotIn,-21.0137,0,0,-21.0215
Form,MeasSpotIn,0,0,0,0.0113
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1634
   X,MeasSpotIn,35.0249,0,0,35.0275
   Y,MeasSpotIn,-21.0137,0,0,-21.0132
Form,MeasSpotIn,0,0,0,0.01
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1507
   X,MeasSpotIn,45.032,0,0,45.0396
   Y,MeasSpotIn,-21.0137,0,0,-21.0165
Form,MeasSpotIn,0,0,0,0.0106
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1651
   X,MeasSpotIn,57.0404,0,0,57.0381
   Y,MeasSpotIn,-21.0137,0,0,-21.0217
Form,MeasSpotIn,0,0,0,0.0122
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1593
   X,MeasSpotIn,59.0419,0,0,59.0445
   Y,MeasSpotIn,-19.0124,0,0,-19.0169
Form,MeasSpotIn,0,0,0,0.0089
Diam,MeasSpotIn,0.163,0.127,-0.127,0.158
   X,MeasSpotIn,61.0433,0,0,61.05
   Y,MeasSpotIn,-17.0111,0,0,-17.0151
Form,MeasSpotIn,0,0,0,0.0113
